data,labels
"[0.0, 0.167229562997818, 0.04500943422317505, 0.21492919325828552, 0.1065608561038971, 0.24248769879341125, 0.15444070100784302, 0.2780514657497406, 0.17435938119888306, 0.3267246186733246, 0.1515897512435913, 0.14393886923789978, 0.18719995021820068, 0.10325595736503601, 0.1439622938632965, 0.12776222825050354, 0.12653028964996338, 0.14834269881248474, 0.13395234942436218, 0.09826382994651794, 0.1695634126663208, 0.05922183394432068, 0.1237601637840271, 0.09546893835067749, 0.11254140734672546, 0.11306065320968628, 0.11232808232307434, 0.06113353371620178, 0.14967560768127441, 0.0194699764251709, 0.11002320051193237, 0.05798783898353577, 0.09666708111763, 0.07730796933174133, 0.08835750818252563, 0.030964970588684082, 0.1161370575428009, 0.0, 0.09247836470603943, 0.03128807246685028, 0.07904201745986938, 0.05039384961128235]",Dislike
"[0.0, 0.18106481432914734, 0.04424302279949188, 0.22506046295166016, 0.10600744187831879, 0.24600106477737427, 0.15791521966457367, 0.2754025161266327, 0.18413464725017548, 0.32029324769973755, 0.1516164392232895, 0.14831173419952393, 0.1859937161207199, 0.10215684771537781, 0.14477308094501495, 0.1290166974067688, 0.12782315909862518, 0.1522437036037445, 0.1323712021112442, 0.10229223966598511, 0.16718147695064545, 0.05913001298904419, 0.12188921868801117, 0.09937077760696411, 0.1119273453950882, 0.11913886666297913, 0.10902933776378632, 0.06459105014801025, 0.14752624928951263, 0.018594682216644287, 0.10727553069591522, 0.06248721480369568, 0.0935535877943039, 0.08602753281593323, 0.08302213251590729, 0.03454601764678955, 0.11009199917316437, 0.0, 0.08725975453853607, 0.035190731287002563, 0.07453583180904388, 0.05815625190734863]",Dislike
"[0.0, 0.12458311021327972, 0.031894534826278687, 0.18146924674510956, 0.08455577492713928, 0.2317645400762558, 0.1179819107055664, 0.28630246222019196, 0.11998188495635986, 0.340595081448555, 0.141088604927063, 0.15097005665302277, 0.17577394843101501, 0.13471265137195587, 0.13131177425384521, 0.1461263746023178, 0.11359933018684387, 0.15582020580768585, 0.13399967551231384, 0.09983949363231659, 0.17065852880477905, 0.08366544544696808, 0.1190149188041687, 0.10927800834178925, 0.10396471619606018, 0.11855559051036835, 0.11841437220573425, 0.05681641399860382, 0.15516233444213867, 0.0358341783285141, 0.10846549272537231, 0.06752355396747589, 0.09276646375656128, 0.08013476431369781, 0.09636181592941284, 0.01938389241695404, 0.12182319164276123, 0.0, 0.09429800510406494, 0.030724719166755676, 0.0802965760231018, 0.04734359681606293]",Dislike
"[0.0, 0.18106481432914734, 0.04424302279949188, 0.22506046295166016, 0.10600744187831879, 0.24600106477737427, 0.15791521966457367, 0.2754025161266327, 0.18413464725017548, 0.32029324769973755, 0.1516164392232895, 0.14831173419952393, 0.1859937161207199, 0.10215684771537781, 0.14477308094501495, 0.1290166974067688, 0.12782315909862518, 0.1522437036037445, 0.1323712021112442, 0.10229223966598511, 0.16718147695064545, 0.05913001298904419, 0.12188921868801117, 0.09937077760696411, 0.1119273453950882, 0.11913886666297913, 0.10902933776378632, 0.06459105014801025, 0.14752624928951263, 0.018594682216644287, 0.10727553069591522, 0.06248721480369568, 0.0935535877943039, 0.08602753281593323, 0.08302213251590729, 0.03454601764678955, 0.11009199917316437, 0.0, 0.08725975453853607, 0.035190731287002563, 0.07453583180904388, 0.05815625190734863]",Dislike
"[0.0, 0.17724817991256714, 0.04816967248916626, 0.22197118401527405, 0.1112799346446991, 0.2437209188938141, 0.16324323415756226, 0.2738903760910034, 0.18698087334632874, 0.32026752829551697, 0.15366259217262268, 0.14455005526542664, 0.18846535682678223, 0.09836694598197937, 0.14393234252929688, 0.12941136956214905, 0.12871727347373962, 0.15307572484016418, 0.13278067111968994, 0.09921792149543762, 0.16662850975990295, 0.05695703625679016, 0.12012279033660889, 0.0988321602344513, 0.11174613237380981, 0.11812901496887207, 0.10881200432777405, 0.062476783990859985, 0.14696043729782104, 0.016824260354042053, 0.10511049628257751, 0.06079453229904175, 0.0924149751663208, 0.08438530564308167, 0.08260500431060791, 0.03410995006561279, 0.10932809114456177, 0.0, 0.08490481972694397, 0.0345340222120285, 0.07214727997779846, 0.05773657560348511]",Dislike
"[0.0, 0.17434489727020264, 0.04433631896972656, 0.22062909603118896, 0.10783123970031738, 0.24530690908432007, 0.1586528718471527, 0.27821505069732666, 0.18188896775245667, 0.3249441981315613, 0.15215033292770386, 0.14441698789596558, 0.18435519933700562, 0.10058364272117615, 0.1414545774459839, 0.1295967996120453, 0.12655681371688843, 0.15140458941459656, 0.13263335824012756, 0.09826821088790894, 0.16471245884895325, 0.05659914016723633, 0.11910411715507507, 0.09864270687103271, 0.10929235816001892, 0.11739492416381836, 0.10932141542434692, 0.06144469976425171, 0.1448701024055481, 0.016659945249557495, 0.10417556762695312, 0.06160604953765869, 0.0910765528678894, 0.08404690027236938, 0.08349093794822693, 0.03243330121040344, 0.10873645544052124, 0.0, 0.08460262417793274, 0.03578941524028778, 0.07198458909988403, 0.05811724066734314]",Dislike
"[0.0, 0.17434489727020264, 0.04433631896972656, 0.22062909603118896, 0.10783123970031738, 0.24530690908432007, 0.1586528718471527, 0.27821505069732666, 0.18188896775245667, 0.3249441981315613, 0.15215033292770386, 0.14441698789596558, 0.18435519933700562, 0.10058364272117615, 0.1414545774459839, 0.1295967996120453, 0.12655681371688843, 0.15140458941459656, 0.13263335824012756, 0.09826821088790894, 0.16471245884895325, 0.05659914016723633, 0.11910411715507507, 0.09864270687103271, 0.10929235816001892, 0.11739492416381836, 0.10932141542434692, 0.06144469976425171, 0.1448701024055481, 0.016659945249557495, 0.10417556762695312, 0.06160604953765869, 0.0910765528678894, 0.08404690027236938, 0.08349093794822693, 0.03243330121040344, 0.10873645544052124, 0.0, 0.08460262417793274, 0.03578941524028778, 0.07198458909988403, 0.05811724066734314]",Dislike
"[0.0, 0.17434489727020264, 0.04433631896972656, 0.22062909603118896, 0.10783123970031738, 0.24530690908432007, 0.1586528718471527, 0.27821505069732666, 0.18188896775245667, 0.3249441981315613, 0.15215033292770386, 0.14441698789596558, 0.18435519933700562, 0.10058364272117615, 0.1414545774459839, 0.1295967996120453, 0.12655681371688843, 0.15140458941459656, 0.13263335824012756, 0.09826821088790894, 0.16471245884895325, 0.05659914016723633, 0.11910411715507507, 0.09864270687103271, 0.10929235816001892, 0.11739492416381836, 0.10932141542434692, 0.06144469976425171, 0.1448701024055481, 0.016659945249557495, 0.10417556762695312, 0.06160604953765869, 0.0910765528678894, 0.08404690027236938, 0.08349093794822693, 0.03243330121040344, 0.10873645544052124, 0.0, 0.08460262417793274, 0.03578941524028778, 0.07198458909988403, 0.05811724066734314]",Dislike
"[0.0, 0.1639169454574585, 0.04069383442401886, 0.2138514518737793, 0.10006897151470184, 0.24695366621017456, 0.14487199485301971, 0.289348840713501, 0.16367189586162567, 0.3383752107620239, 0.1531994789838791, 0.15005984902381897, 0.18536634743213654, 0.1095973551273346, 0.14225570857524872, 0.13125282526016235, 0.12675856053829193, 0.1506897509098053, 0.13656924664974213, 0.10126373171806335, 0.17057044804096222, 0.06298476457595825, 0.123072549700737, 0.09803220629692078, 0.1106596440076828, 0.11639884114265442, 0.11539234220981598, 0.06170046329498291, 0.15151973068714142, 0.02179037034511566, 0.10893319547176361, 0.06067827343940735, 0.09355534613132477, 0.0820169448852539, 0.09106911718845367, 0.03043416142463684, 0.11781184375286102, 0.0, 0.09175263345241547, 0.032894015312194824, 0.07689733803272247, 0.054871201515197754]",Dislike
"[0.0, 0.1639169454574585, 0.04069383442401886, 0.2138514518737793, 0.10006897151470184, 0.24695366621017456, 0.14487199485301971, 0.289348840713501, 0.16367189586162567, 0.3383752107620239, 0.1531994789838791, 0.15005984902381897, 0.18536634743213654, 0.1095973551273346, 0.14225570857524872, 0.13125282526016235, 0.12675856053829193, 0.1506897509098053, 0.13656924664974213, 0.10126373171806335, 0.17057044804096222, 0.06298476457595825, 0.123072549700737, 0.09803220629692078, 0.1106596440076828, 0.11639884114265442, 0.11539234220981598, 0.06170046329498291, 0.15151973068714142, 0.02179037034511566, 0.10893319547176361, 0.06067827343940735, 0.09355534613132477, 0.0820169448852539, 0.09106911718845367, 0.03043416142463684, 0.11781184375286102, 0.0, 0.09175263345241547, 0.032894015312194824, 0.07689733803272247, 0.054871201515197754]",Dislike
"[0.0, 0.14624962210655212, 0.03563873469829559, 0.20000618696212769, 0.08877550065517426, 0.2440713346004486, 0.1250636726617813, 0.2928934395313263, 0.1354493647813797, 0.34181293845176697, 0.1490347534418106, 0.15444910526275635, 0.18165411055088043, 0.12562167644500732, 0.13702134788036346, 0.14187052845954895, 0.12091206014156342, 0.15504616498947144, 0.1372310072183609, 0.10309186577796936, 0.1712689846754074, 0.07675865292549133, 0.12094123661518097, 0.10695645213127136, 0.10705806314945221, 0.11907708644866943, 0.11896263062953949, 0.06053611636161804, 0.1555130034685135, 0.030076399445533752, 0.10914121568202972, 0.06529000401496887, 0.09159083664417267, 0.08033442497253418, 0.09604330360889435, 0.025210261344909668, 0.12187044322490692, 0.0, 0.0932064801454544, 0.030917108058929443, 0.07729245722293854, 0.04780837893486023]",Dislike
"[0.0, 0.1303686797618866, 0.031529560685157776, 0.18836456537246704, 0.0788668543100357, 0.2387508749961853, 0.1084832102060318, 0.29590290784835815, 0.11065329611301422, 0.3493350148200989, 0.14128528535366058, 0.15441164374351501, 0.17648707330226898, 0.13379749655723572, 0.12986217439174652, 0.14704596996307373, 0.10982020199298859, 0.1585860252380371, 0.13364480435848236, 0.10222265124320984, 0.16686899960041046, 0.08371102809906006, 0.1144508570432663, 0.11110597848892212, 0.09947289526462555, 0.12268796563148499, 0.1175173968076706, 0.058707475662231445, 0.15167675912380219, 0.035217419266700745, 0.10378248989582062, 0.06752333045005798, 0.08698467910289764, 0.08303505182266235, 0.09570421278476715, 0.021366775035858154, 0.1190854161977768, 0.0, 0.09007833898067474, 0.030782103538513184, 0.07477058470249176, 0.04950544238090515]",Dislike
"[0.0, 0.1303686797618866, 0.031529560685157776, 0.18836456537246704, 0.0788668543100357, 0.2387508749961853, 0.1084832102060318, 0.29590290784835815, 0.11065329611301422, 0.3493350148200989, 0.14128528535366058, 0.15441164374351501, 0.17648707330226898, 0.13379749655723572, 0.12986217439174652, 0.14704596996307373, 0.10982020199298859, 0.1585860252380371, 0.13364480435848236, 0.10222265124320984, 0.16686899960041046, 0.08371102809906006, 0.1144508570432663, 0.11110597848892212, 0.09947289526462555, 0.12268796563148499, 0.1175173968076706, 0.058707475662231445, 0.15167675912380219, 0.035217419266700745, 0.10378248989582062, 0.06752333045005798, 0.08698467910289764, 0.08303505182266235, 0.09570421278476715, 0.021366775035858154, 0.1190854161977768, 0.0, 0.09007833898067474, 0.030782103538513184, 0.07477058470249176, 0.04950544238090515]",Dislike
"[0.0, 0.12603773176670074, 0.03099401295185089, 0.18310554325580597, 0.08329750597476959, 0.23227588832378387, 0.11843116581439972, 0.28624285757541656, 0.12220288813114166, 0.3415041118860245, 0.1397075206041336, 0.1524554342031479, 0.17717008292675018, 0.13768722116947174, 0.13091732561588287, 0.1493861824274063, 0.1127224713563919, 0.15816836059093475, 0.13284404575824738, 0.101067915558815, 0.1702461987733841, 0.0869842916727066, 0.11688177287578583, 0.11219437420368195, 0.10299243032932281, 0.11959631741046906, 0.11809997260570526, 0.057124122977256775, 0.15509618818759918, 0.03878428041934967, 0.10705329477787018, 0.06994999945163727, 0.09243543446063995, 0.08145974576473236, 0.09766246378421783, 0.01867552101612091, 0.12391029298305511, 0.0, 0.09577061235904694, 0.03128610551357269, 0.08173708617687225, 0.04812173545360565]",Dislike
"[0.0, 0.1303686797618866, 0.031529560685157776, 0.18836456537246704, 0.0788668543100357, 0.2387508749961853, 0.1084832102060318, 0.29590290784835815, 0.11065329611301422, 0.3493350148200989, 0.14128528535366058, 0.15441164374351501, 0.17648707330226898, 0.13379749655723572, 0.12986217439174652, 0.14704596996307373, 0.10982020199298859, 0.1585860252380371, 0.13364480435848236, 0.10222265124320984, 0.16686899960041046, 0.08371102809906006, 0.1144508570432663, 0.11110597848892212, 0.09947289526462555, 0.12268796563148499, 0.1175173968076706, 0.058707475662231445, 0.15167675912380219, 0.035217419266700745, 0.10378248989582062, 0.06752333045005798, 0.08698467910289764, 0.08303505182266235, 0.09570421278476715, 0.021366775035858154, 0.1190854161977768, 0.0, 0.09007833898067474, 0.030782103538513184, 0.07477058470249176, 0.04950544238090515]",Dislike
"[0.0, 0.11733390390872955, 0.026906773447990417, 0.173705592751503, 0.07179276645183563, 0.2274385243654251, 0.09549342095851898, 0.2878962904214859, 0.09288899600505829, 0.3389679342508316, 0.13995538651943207, 0.15191389620304108, 0.17130349576473236, 0.13776154816150665, 0.12407515943050385, 0.14779184758663177, 0.10152696073055267, 0.15733827650547028, 0.1329265683889389, 0.09810672700405121, 0.1672958880662918, 0.07946537435054779, 0.11295424401760101, 0.10479594767093658, 0.0975586324930191, 0.12006746232509613, 0.11577560007572174, 0.05433802306652069, 0.14982156455516815, 0.033054426312446594, 0.1014481633901596, 0.06502582132816315, 0.08489204943180084, 0.08276580274105072, 0.09153313934803009, 0.019317567348480225, 0.11580042541027069, 0.0, 0.08528853952884674, 0.02967284619808197, 0.06843255460262299, 0.04836691915988922]",Dislike
"[0.0, 0.11733390390872955, 0.026906773447990417, 0.173705592751503, 0.07179276645183563, 0.2274385243654251, 0.09549342095851898, 0.2878962904214859, 0.09288899600505829, 0.3389679342508316, 0.13995538651943207, 0.15191389620304108, 0.17130349576473236, 0.13776154816150665, 0.12407515943050385, 0.14779184758663177, 0.10152696073055267, 0.15733827650547028, 0.1329265683889389, 0.09810672700405121, 0.1672958880662918, 0.07946537435054779, 0.11295424401760101, 0.10479594767093658, 0.0975586324930191, 0.12006746232509613, 0.11577560007572174, 0.05433802306652069, 0.14982156455516815, 0.033054426312446594, 0.1014481633901596, 0.06502582132816315, 0.08489204943180084, 0.08276580274105072, 0.09153313934803009, 0.019317567348480225, 0.11580042541027069, 0.0, 0.08528853952884674, 0.02967284619808197, 0.06843255460262299, 0.04836691915988922]",Dislike
"[0.0, 0.10567168891429901, 0.026011794805526733, 0.16338784992694855, 0.06533986330032349, 0.2206055372953415, 0.07970404624938965, 0.2821362465620041, 0.07273194193840027, 0.3340946286916733, 0.1404079794883728, 0.14946682751178741, 0.16971087455749512, 0.13752882182598114, 0.12554624676704407, 0.14272992312908173, 0.09679681062698364, 0.1504267305135727, 0.1338789165019989, 0.09745331108570099, 0.16584375500679016, 0.08269540965557098, 0.11752736568450928, 0.10263694822788239, 0.09395769238471985, 0.11698172986507416, 0.11748430132865906, 0.05451081693172455, 0.1491127908229828, 0.03376711905002594, 0.10611334443092346, 0.0622609406709671, 0.08497905731201172, 0.0811132937669754, 0.09416583180427551, 0.018134430050849915, 0.11527365446090698, 0.0, 0.0874115526676178, 0.027849003672599792, 0.0701095461845398, 0.049021556973457336]",Dislike
"[0.0, 0.08528213202953339, 0.021969839930534363, 0.1437975913286209, 0.05683545768260956, 0.20402388274669647, 0.06478215754032135, 0.26542632281780243, 0.050763800740242004, 0.31561802327632904, 0.1377018243074417, 0.15282057225704193, 0.16660596430301666, 0.14262078702449799, 0.12325449287891388, 0.14277108013629913, 0.09481461346149445, 0.14777801930904388, 0.1357867270708084, 0.09958012402057648, 0.16973985731601715, 0.08680881559848785, 0.11875234544277191, 0.10057888925075531, 0.09012345969676971, 0.1115000993013382, 0.12295638024806976, 0.053108230233192444, 0.1576298624277115, 0.035795047879219055, 0.10975517332553864, 0.059926822781562805, 0.08220110833644867, 0.07542087137699127, 0.10094182193279266, 0.012520894408226013, 0.12174077332019806, 0.0, 0.0913933664560318, 0.026307985186576843, 0.07170651853084564, 0.046407148241996765]",Dislike
"[0.0, 0.08528213202953339, 0.021969839930534363, 0.1437975913286209, 0.05683545768260956, 0.20402388274669647, 0.06478215754032135, 0.26542632281780243, 0.050763800740242004, 0.31561802327632904, 0.1377018243074417, 0.15282057225704193, 0.16660596430301666, 0.14262078702449799, 0.12325449287891388, 0.14277108013629913, 0.09481461346149445, 0.14777801930904388, 0.1357867270708084, 0.09958012402057648, 0.16973985731601715, 0.08680881559848785, 0.11875234544277191, 0.10057888925075531, 0.09012345969676971, 0.1115000993013382, 0.12295638024806976, 0.053108230233192444, 0.1576298624277115, 0.035795047879219055, 0.10975517332553864, 0.059926822781562805, 0.08220110833644867, 0.07542087137699127, 0.10094182193279266, 0.012520894408226013, 0.12174077332019806, 0.0, 0.0913933664560318, 0.026307985186576843, 0.07170651853084564, 0.046407148241996765]",Dislike
"[0.0, 0.08528213202953339, 0.021969839930534363, 0.1437975913286209, 0.05683545768260956, 0.20402388274669647, 0.06478215754032135, 0.26542632281780243, 0.050763800740242004, 0.31561802327632904, 0.1377018243074417, 0.15282057225704193, 0.16660596430301666, 0.14262078702449799, 0.12325449287891388, 0.14277108013629913, 0.09481461346149445, 0.14777801930904388, 0.1357867270708084, 0.09958012402057648, 0.16973985731601715, 0.08680881559848785, 0.11875234544277191, 0.10057888925075531, 0.09012345969676971, 0.1115000993013382, 0.12295638024806976, 0.053108230233192444, 0.1576298624277115, 0.035795047879219055, 0.10975517332553864, 0.059926822781562805, 0.08220110833644867, 0.07542087137699127, 0.10094182193279266, 0.012520894408226013, 0.12174077332019806, 0.0, 0.0913933664560318, 0.026307985186576843, 0.07170651853084564, 0.046407148241996765]",Dislike
"[0.0, 0.06633791327476501, 0.017508268356323242, 0.12530192732810974, 0.046880900859832764, 0.18834832310676575, 0.05233699083328247, 0.25058209896087646, 0.036740243434906006, 0.3039604425430298, 0.1366070806980133, 0.15533679723739624, 0.16835162043571472, 0.1462341547012329, 0.12657052278518677, 0.14239874482154846, 0.10027804970741272, 0.1485375463962555, 0.1369645893573761, 0.10193923115730286, 0.1737077832221985, 0.09041199088096619, 0.12133601307868958, 0.09908497333526611, 0.09145927429199219, 0.1081104576587677, 0.12619492411613464, 0.05338555574417114, 0.16299927234649658, 0.03839457035064697, 0.11398541927337646, 0.0583156943321228, 0.08671468496322632, 0.07194742560386658, 0.10574191808700562, 0.01145792007446289, 0.1273147165775299, 0.0, 0.09568619728088379, 0.020685911178588867, 0.07695695757865906, 0.036407798528671265]",Dislike
"[0.0, 0.06633791327476501, 0.017508268356323242, 0.12530192732810974, 0.046880900859832764, 0.18834832310676575, 0.05233699083328247, 0.25058209896087646, 0.036740243434906006, 0.3039604425430298, 0.1366070806980133, 0.15533679723739624, 0.16835162043571472, 0.1462341547012329, 0.12657052278518677, 0.14239874482154846, 0.10027804970741272, 0.1485375463962555, 0.1369645893573761, 0.10193923115730286, 0.1737077832221985, 0.09041199088096619, 0.12133601307868958, 0.09908497333526611, 0.09145927429199219, 0.1081104576587677, 0.12619492411613464, 0.05338555574417114, 0.16299927234649658, 0.03839457035064697, 0.11398541927337646, 0.0583156943321228, 0.08671468496322632, 0.07194742560386658, 0.10574191808700562, 0.01145792007446289, 0.1273147165775299, 0.0, 0.09568619728088379, 0.020685911178588867, 0.07695695757865906, 0.036407798528671265]",Dislike
